name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance
Azza Gremlin,2,Fey,Fey,0,0,14,7,2,5,18,10,12,13,10,-3.0,4.0,0.0,1.0,1.0,0.0,1.0,0,0,2,0,11,36.0,0.0,0.0,0.0,0.0,2,0.25,1,1,0,1,0,10.0,0.0,1,1,1,1,40.0,4,0.0,0,1,0.0,0,1,1,-3,4,1,1,1,0,0
"Baba Yaga's Horsemen, Black Night",3,Fey,Fey,1,0,20,171,18,22,11,21,16,18,18,6.0,4.0,5.0,3.0,8.0,4.0,8.0,0,3,3,3,18,0.0,0.0,0.0,0.0,30.0,4,11.0,4,0,0,5,0,30.0,0.0,7,8,4,3,0.0,0,0.0,4,4,0.0,4,7,0,10,0,4,3,3,4,4
"Baba Yaga's Horsemen, Bright Day",3,Fey,Fey,1,0,20,171,18,22,11,21,16,18,18,6.0,4.0,5.0,3.0,8.0,4.0,8.0,0,5,2,3,18,18.0,0.0,0.0,0.0,30.0,4,11.0,4,0,0,4,0,30.0,0.0,7,8,4,3,0.0,0,0.0,4,4,0.0,4,7,0,10,0,4,3,3,4,4
"Baba Yaga's Horsemen, Red Sun",3,Fey,Fey,1,0,20,171,18,22,11,21,16,18,18,6.0,4.0,5.0,3.0,8.0,4.0,8.0,0,3,3,6,18,0.0,0.0,0.0,0.0,30.0,4,11.0,4,0,0,4,0,30.0,0.0,7,8,4,3,0.0,0,0.0,4,4,0.0,4,7,0,10,0,4,3,3,4,4
Bagiennik,3,Aberration,Aberration,-1,0,15,75,10,16,18,16,9,16,11,3.0,4.0,3.0,-1.0,3.0,0.0,5.0,0,0,0,0,15,18.0,0.0,0.0,0.0,0.0,1,3.0,3,0,0,1,0,30.0,40.0,-1,5,3,-1,0.0,4,0.0,0,3,0.0,0,-1,0,3,4,3,-1,-1,0,0
Bastet Temple Cat,2,Monstrosity,Monstrosity,-1,0,14,40,9,8,19,12,12,16,18,-1.0,4.0,1.0,1.0,3.0,4.0,5.0,0,0,0,0,15,18.0,0.0,0.0,0.0,0.0,3,1.0,4,0,0,3,0,40.0,0.0,1,5,3,1,0.0,6,0.0,4,3,30.0,4,1,0,-1,4,3,1,1,4,4
Bearfolk,3,Humanoid,bearfolk,-1,1,14,45,6,19,14,16,8,12,9,4.0,2.0,3.0,-1.0,1.0,-1.0,1.0,0,0,0,0,11,18.0,0.0,0.0,0.0,0.0,2,3.0,4,0,0,2,0,40.0,0.0,-1,1,1,-1,0.0,2,0.0,-1,1,0.0,-1,-1,0,4,2,1,-1,-1,-1,-1
Behtu,2,Humanoid,Humanoid,-1,-1,14,52,8,17,16,16,12,11,7,3.0,5.0,3.0,1.0,0.0,-2.0,0.0,0,3,0,0,10,18.0,0.0,0.0,0.0,0.0,3,2.0,4,0,0,0,0,20.0,0.0,1,0,0,1,0.0,5,0.0,-2,0,20.0,-2,1,0,5,3,0,1,1,-2,-2
Beli,2,Fey,Fey,0,-1,15,45,10,11,16,12,8,11,14,0.0,5.0,1.0,-1.0,0.0,2.0,4.0,-1,0,1,0,14,18.0,0.0,0.0,0.0,0.0,3,2.0,2,0,0,4,0,30.0,0.0,-1,4,0,-1,30.0,5,0.0,2,0,0.0,2,-1,0,0,3,0,-1,-1,2,2
Bereginyas,1,Fey,Fey,0,-1,15,70,20,14,20,12,13,12,11,2.0,7.0,1.0,1.0,1.0,0.0,5.0,0,0,1,0,15,18.0,0.0,0.0,0.0,0.0,3,4.0,3,0,0,0,0,20.0,0.0,1,5,1,1,60.0,9,0.0,0,1,0.0,0,1,0,2,5,1,1,1,0,0
Blemmyes,4,Monstrosity,Monstrosity,-1,-1,15,168,16,20,13,20,7,12,5,5.0,1.0,5.0,-2.0,1.0,-3.0,1.0,0,0,0,0,11,18.0,0.0,0.0,0.0,0.0,1,8.0,4,0,0,1,0,40.0,0.0,-2,1,1,-2,0.0,1,0.0,-3,1,0.0,-3,-2,0,5,1,1,-2,-2,3,-3
Boloti,1,Fey,Fey,0,-1,15,63,14,12,20,14,13,12,11,1.0,5.0,2.0,1.0,1.0,0.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,3,1.0,2,0,0,3,0,20.0,60.0,1,3,1,1,0.0,7,0.0,0,1,0.0,0,1,0,1,5,1,1,1,0,0
Bone Collective,2,Undead,Undead,-1,-1,17,120,16,10,20,18,14,10,16,0.0,8.0,4.0,2.0,0.0,3.0,3.0,0,3,2,2,13,36.0,0.0,0.0,0.0,0.0,2,8.0,5,0,0,3,0,30.0,0.0,2,3,0,2,0.0,11,0.0,3,0,0.0,6,5,0,0,5,0,2,2,3,3
Bone Crab,2,Beast,Beast,0,0,13,33,6,10,14,14,1,12,4,0.0,2.0,2.0,-5.0,1.0,-3.0,3.0,0,1,0,0,13,18.0,0.0,0.0,0.0,0.0,1,0.5,3,0,0,4,0,20.0,10.0,-5,3,1,-5,0.0,4,0.0,-3,1,0.0,-3,-5,0,0,2,1,-5,-5,-3,-3
Bone Swarm,4,Undead,Swarm,-1,-1,17,198,36,22,18,10,9,15,20,6.0,8.0,0.0,-1.0,6.0,9.0,6.0,-1,2,1,8,16,18.0,0.0,0.0,0.0,0.0,2,10.0,3,0,0,2,0,20.0,0.0,-1,6,2,-1,60.0,8,0.0,5,2,0.0,5,-1,0,6,8,2,-1,-1,5,5
Bouda,3,Fiend,shapechanger,0,-1,15,93,11,19,14,18,10,12,15,4.0,5.0,7.0,4.0,1.0,6.0,4.0,0,5,2,3,14,36.0,0.0,0.0,0.0,30.0,5,5.0,4,0,0,3,0,30.0,0.0,0,4,1,0,0.0,5,0.0,2,1,0.0,5,0,0,7,2,1,0,0,5,2
Broodiken,1,Construct,Construct,0,0,13,55,10,8,14,16,2,10,6,-1.0,2.0,3.0,-4.0,0.0,-2.0,4.0,0,3,1,6,14,18.0,0.0,0.0,0.0,0.0,1,1.0,2,0,0,3,0,20.0,0.0,-4,4,0,-4,0.0,6,0.0,-2,0,20.0,-2,-4,0,-1,2,0,-4,-4,-2,-2
Bucca,1,Fey,Fey,0,-1,14,27,5,10,16,17,13,9,16,0.0,3.0,3.0,1.0,-1.0,3.0,1.0,0,0,0,0,11,18.0,0.0,0.0,0.0,0.0,2,0.5,1,0,0,3,0,20.0,0.0,1,1,-1,1,30.0,7,0.0,3,-1,0.0,3,1,0,0,3,-1,1,1,3,3
Bukavac,4,Monstrosity,Monstrosity,0,-1,16,199,21,20,17,18,7,15,12,5.0,7.0,8.0,-2.0,2.0,1.0,10.0,0,0,1,0,20,18.0,0.0,0.0,0.0,0.0,1,9.0,5,0,0,2,0,40.0,20.0,-2,10,2,-2,0.0,11,0.0,1,2,0.0,1,-2,0,5,3,2,-2,-2,1,1
Buraq,3,Celestial,Celestial,1,1,17,152,16,15,18,20,18,18,20,2.0,4.0,9.0,4.0,8.0,9.0,4.0,0,4,0,3,14,0.0,0.0,0.0,36.0,36.0,4,11.0,3,0,0,4,0,60.0,0.0,8,4,4,8,90.0,4,0.0,5,4,0.0,5,4,0,2,4,4,4,4,5,5
Burrowling,2,Humanoid,burrowling,1,0,13,27,6,10,16,12,9,12,13,0.0,3.0,1.0,-1.0,1.0,1.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,1,0.5,4,0,0,2,0,30.0,0.0,-1,3,1,-1,0.0,3,10.0,1,1,0.0,1,-1,0,0,3,1,-1,-1,1,1
Cactid,4,Plant,Plant,0,0,14,76,8,16,8,18,7,10,9,3.0,-1.0,4.0,-2.0,0.0,-1.0,0.0,-1,2,0,2,10,0.0,18.0,0.0,0.0,0.0,2,3.0,3,0,0,1,0,5.0,0.0,-2,0,0,-2,0.0,-1,0.0,-1,0,0.0,-1,-2,0,3,-1,0,-2,-2,-1,-1
Cambium,4,Fiend,Fiend,0,-1,19,264,23,21,16,23,17,16,18,5.0,8.0,11.0,8.0,8.0,9.0,8.0,0,0,1,2,18,18.0,0.0,0.0,0.0,0.0,3,14.0,8,0,0,1,0,40.0,0.0,3,8,8,3,0.0,8,0.0,4,8,0.0,9,8,0,5,3,3,3,3,4,4
Carrion Beetle,4,Beast,Beast,0,0,15,127,15,19,12,17,1,13,10,4.0,1.0,3.0,-5.0,1.0,0.0,1.0,0,0,0,1,11,18.0,0.0,0.0,0.0,0.0,1,4.0,4,0,0,0,0,30.0,0.0,-5,1,1,-5,0.0,1,20.0,0,1,10.0,0,-5,0,4,1,1,-5,-5,0,0
Cavelight Moss,4,Plant,Plant,0,0,15,95,10,24,10,18,1,13,5,7.0,0.0,4.0,-5.0,1.0,-3.0,1.0,0,4,0,7,11,0.0,0.0,18.0,0.0,0.0,1,4.0,2,0,0,1,0,5.0,0.0,-5,1,1,-5,0.0,0,0.0,-3,1,5.0,-3,-5,0,7,0,1,-5,-5,-3,-3
Chelicerae,4,Aberration,Aberration,0,-1,16,153,18,22,17,17,14,15,14,6.0,6.0,3.0,2.0,5.0,5.0,5.0,0,0,1,2,15,18.0,0.0,0.0,0.0,0.0,1,7.0,3,0,0,4,0,40.0,0.0,2,5,2,2,0.0,6,0.0,2,2,30.0,2,2,0,9,6,2,2,2,2,2
Chernomoi,1,Fey,Fey,0,0,13,32,5,9,18,18,12,11,16,-1.0,4.0,4.0,1.0,0.0,3.0,2.0,0,3,0,0,12,18.0,0.0,0.0,0.0,0.0,3,1.0,2,0,0,1,0,20.0,0.0,1,2,0,1,20.0,6,0.0,3,0,0.0,3,1,0,-1,6,0,1,1,3,3
Child Of The Briar,1,Plant,Plant,0,-1,13,50,20,6,17,11,13,10,14,-2.0,3.0,0.0,1.0,0.0,2.0,4.0,-1,0,0,0,14,18.0,0.0,0.0,0.0,0.0,3,1.0,5,0,0,1,0,20.0,0.0,1,4,0,1,0.0,7,0.0,2,0,10.0,2,1,0,-2,3,0,1,1,2,2
Chronalmental,4,Elemental,Elemental,0,0,17,152,16,1,20,19,9,13,6,-5.0,5.0,4.0,-1.0,1.0,-2.0,1.0,0,0,4,5,11,18.0,0.0,0.0,0.0,0.0,2,8.0,4,1,0,1,0,30.0,0.0,-1,1,1,-1,0.0,5,0.0,-2,1,0.0,-2,-1,0,-5,5,1,-1,-1,-2,-2
Cikavak,1,Fey,Fey,0,0,12,17,7,4,15,10,12,12,4,-3.0,2.0,0.0,1.0,1.0,-3.0,5.0,0,3,0,0,15,18.0,0.0,0.0,0.0,0.0,2,0.125,1,0,0,1,0,10.0,0.0,1,5,1,1,40.0,9,0.0,-3,1,0.0,-3,1,0,-3,2,1,1,1,-3,-3
Clockwork Abomination,4,Construct,devil,1,-1,16,76,8,21,12,18,10,10,12,5.0,4.0,7.0,0.0,0.0,1.0,4.0,0,6,1,6,13,18.0,0.0,0.0,0.0,0.0,2,5.0,4,0,0,4,0,30.0,0.0,0,4,0,0,0.0,4,0.0,1,0,30.0,1,0,0,9,1,0,0,0,1,1
Clockwork Beetle,1,Construct,Construct,0,0,14,15,6,8,16,10,4,12,7,-1.0,5.0,0.0,-3.0,1.0,-2.0,1.0,0,0,2,6,11,18.0,0.0,0.0,0.0,30.0,2,0.5,1,0,0,2,0,30.0,0.0,-3,1,1,-3,50.0,5,0.0,-2,1,0.0,-2,-3,0,-1,3,1,-3,-3,-2,-2
Clockwork Beetle Swarm,4,Construct,Swarm,0,0,14,52,8,8,16,12,4,12,7,-1.0,3.0,1.0,-3.0,1.0,-2.0,1.0,0,3,3,7,11,18.0,0.0,0.0,0.0,0.0,1,3.0,1,0,0,1,0,30.0,0.0,-3,1,1,-3,50.0,3,0.0,-2,1,0.0,-2,-3,0,-1,3,1,-3,-3,-2,-2
Clockwork Hound,3,Construct,Construct,0,0,12,71,11,16,15,14,1,10,1,3.0,4.0,4.0,-5.0,0.0,-5.0,4.0,0,0,2,6,14,18.0,0.0,0.0,0.0,0.0,1,2.0,3,0,0,3,0,50.0,0.0,-5,4,0,-5,0.0,2,0.0,-5,0,0.0,-5,-5,0,7,2,0,-5,-5,-5,-5
Clockwork Huntsman,3,Construct,Construct,0,0,14,110,20,17,14,12,4,10,1,5.0,4.0,1.0,-3.0,0.0,-5.0,4.0,0,0,2,6,14,18.0,0.0,0.0,0.0,0.0,1,3.0,4,0,0,2,0,40.0,0.0,-3,4,0,-3,0.0,2,0.0,-5,0,0.0,-5,-3,0,3,2,4,-3,-3,-5,-5
Clockwork Myrmidon,4,Construct,Construct,0,0,16,153,18,20,14,16,10,10,1,11.0,5.0,3.0,0.0,0.0,-5.0,6.0,0,0,2,6,16,18.0,0.0,0.0,0.0,0.0,1,6.0,6,0,0,2,0,30.0,0.0,0,6,0,0,0.0,2,0.0,-5,0,0.0,-5,0,0,8,2,0,0,0,-5,-5
Clockwork Watchman,3,Construct,Construct,0,0,14,55,10,14,12,12,5,10,1,2.0,1.0,3.0,-3.0,0.0,-5.0,4.0,0,0,2,6,14,18.0,0.0,0.0,0.0,0.0,1,0.5,3,0,0,2,0,30.0,0.0,-3,4,0,-3,0.0,1,0.0,-5,0,0.0,-5,-3,0,4,1,0,-3,-3,-5,-5
Weaving Spider,1,Construct,Construct,0,0,15,25,10,10,16,10,9,8,8,0.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,0,0,1,7,14,18.0,0.0,0.0,0.0,0.0,1,1.0,4,0,0,2,0,40.0,0.0,-1,-1,-1,-1,0.0,3,0.0,-1,-1,40.0,-1,-1,0,0,3,-1,-1,-1,-1,-1
Clurichaun,1,Fey,Fey,-1,0,14,22,4,13,12,16,10,8,16,1.0,1.0,5.0,0.0,-1.0,3.0,1.0,0,0,0,2,11,18.0,0.0,0.0,0.0,0.0,3,0.25,2,0,0,3,0,30.0,0.0,0,1,-1,0,0.0,3,0.0,3,-1,0.0,3,0,0,1,1,-1,0,0,3,3
Cobbleswarm,3,Monstrosity,Swarm,0,0,15,36,8,12,11,11,5,12,5,1.0,0.0,0.0,-3.0,1.0,-3.0,1.0,0,3,0,6,11,0.0,0.0,0.0,0.0,0.0,1,2.0,1,0,0,4,0,30.0,0.0,-3,1,1,-3,0.0,0,0.0,-3,1,0.0,-3,-3,0,1,0,1,-3,-3,-3,-3
Corpse Mound,5,Undead,Undead,0,-1,16,207,18,24,11,21,8,10,8,7.0,0.0,9.0,3.0,4.0,-1.0,0.0,0,1,1,4,10,18.0,0.0,0.0,0.0,0.0,1,11.0,4,0,0,3,0,30.0,0.0,-1,0,0,-1,0.0,0,0.0,-1,0,0.0,-1,-1,0,7,0,0,-1,-1,-1,-1
Dau,2,Fey,Fey,-1,0,13,49,9,7,17,14,14,17,16,-2.0,3.0,2.0,2.0,3.0,3.0,5.0,0,0,0,0,15,18.0,0.0,0.0,0.0,18.0,4,4.0,3,1,0,2,0,20.0,0.0,2,5,3,2,60.0,5,0.0,3,5,0.0,5,2,1,-2,3,3,2,2,3,3
Death Butterfly Swarm,4,Beast,Swarm,-1,-1,15,60,11,1,13,10,1,12,15,-5.0,1.0,0.0,-5.0,1.0,2.0,1.0,-2,3,0,7,11,18.0,0.0,0.0,0.0,0.0,0,4.0,2,0,0,3,0,5.0,0.0,-5,1,1,-5,40.0,1,0.0,2,1,0.0,2,-5,1,-5,1,1,-5,-5,2,2
Greater Death Butterfly Swarm,5,Beast,Swarm,-1,-1,15,84,13,1,16,10,1,15,12,-5.0,3.0,0.0,-5.0,2.0,1.0,2.0,-2,3,0,7,12,18.0,0.0,0.0,0.0,0.0,0,6.0,2,0,0,3,0,5.0,0.0,-5,2,2,-5,40.0,3,0.0,1,2,0.0,1,-5,1,-5,3,2,-5,-5,1,1
Deathwisp,3,Undead,Undead,0,-1,15,82,11,6,20,16,18,16,20,-2.0,8.0,6.0,4.0,6.0,5.0,6.0,0,8,2,8,16,18.0,0.0,0.0,0.0,0.0,1,7.0,2,0,0,5,0,0.0,0.0,4,6,3,4,60.0,8,0.0,5,3,0.0,5,4,1,-2,5,3,4,4,5,5
Deep One,3,Humanoid,Humanoid,-1,-1,13,91,14,16,12,14,10,8,12,5.0,1.0,4.0,0.0,-1.0,3.0,-1.0,-1,1,0,0,9,36.0,0.0,0.0,0.0,0.0,2,2.0,1,0,0,4,0,30.0,30.0,0,-1,-1,0,0.0,1,0.0,1,-1,0.0,1,0,0,3,1,-1,0,0,1,1
Deep One Hybrid Priest,3,Humanoid,Humanoid,-1,-1,14,120,16,18,14,16,12,12,15,4.0,2.0,5.0,1.0,3.0,4.0,3.0,-1,1,0,0,13,36.0,0.0,0.0,0.0,0.0,2,4.0,1,0,0,6,0,30.0,30.0,1,3,1,1,0.0,2,0.0,2,1,0.0,4,1,0,6,2,1,1,1,2,2
Deep One Archimandrite,4,Humanoid,Humanoid,-1,-1,15,153,18,20,15,17,12,17,19,5.0,5.0,3.0,1.0,6.0,7.0,6.0,-1,2,0,0,16,72.0,0.0,0.0,0.0,0.0,2,8.0,3,0,0,6,0,40.0,40.0,1,6,3,1,0.0,2,0.0,4,3,0.0,4,4,0,5,2,3,1,1,4,4
Apau Perape,4,Fiend,demon,-1,-1,16,95,10,21,18,19,10,12,15,5.0,7.0,7.0,0.0,4.0,2.0,4.0,-1,6,1,2,14,36.0,0.0,0.0,0.0,36.0,3,6.0,4,0,0,3,0,30.0,0.0,0,4,1,0,0.0,7,0.0,2,1,30.0,2,0,0,5,4,1,0,0,5,2
Berstuc,4,Fiend,demon,-1,-1,18,157,15,22,10,20,12,14,19,10.0,0.0,5.0,1.0,6.0,8.0,2.0,0,5,2,1,12,36.0,0.0,0.0,0.0,36.0,4,11.0,3,0,0,4,0,40.0,0.0,1,2,2,1,0.0,4,20.0,4,2,0.0,8,1,0,6,0,6,1,10,4,4
Kishi Demon,3,Fiend,demon,-1,-1,18,119,14,19,20,19,15,11,22,4.0,8.0,7.0,2.0,3.0,6.0,3.0,0,7,1,1,13,36.0,0.0,0.0,0.0,0.0,5,8.0,3,0,0,5,0,50.0,0.0,2,3,0,2,0.0,5,0.0,6,0,0.0,9,2,0,4,5,0,2,2,6,9
Malakbel,3,Fiend,demon,-1,-1,14,102,12,14,17,19,13,16,20,2.0,7.0,4.0,1.0,7.0,5.0,7.0,0,5,3,2,17,0.0,0.0,0.0,9.0,36.0,2,9.0,4,0,0,3,0,40.0,0.0,1,7,3,1,0.0,3,0.0,5,3,0.0,5,1,0,2,3,3,1,1,5,5
Psoglav Demon,4,Fiend,demon,-1,-1,17,115,11,21,23,20,16,19,18,5.0,9.0,8.0,3.0,7.0,7.0,6.0,0,2,2,1,16,18.0,9.0,0.0,0.0,18.0,3,7.0,3,0,0,3,0,40.0,0.0,3,6,4,3,60.0,9,0.0,4,4,0.0,4,3,0,5,9,4,3,3,7,4
Rubezahl,3,Fiend,demon,-1,-1,15,110,17,20,15,14,11,12,18,5.0,6.0,6.0,0.0,5.0,4.0,5.0,0,5,3,2,15,36.0,3.0,0.0,0.0,36.0,3,10.0,4,0,0,4,0,50.0,0.0,0,5,1,0,0.0,2,0.0,4,1,0.0,8,0,0,5,2,5,0,0,4,4
Skin Bat,2,Undead,Undead,0,-1,13,14,4,12,16,10,2,13,6,1.0,3.0,0.0,-4.0,1.0,-2.0,3.0,0,0,1,1,13,18.0,0.0,0.0,0.0,0.0,0,0.5,1,0,0,1,0,10.0,0.0,-4,3,1,-4,40.0,3,0.0,-2,1,0.0,-2,-4,0,1,3,1,-4,-4,-2,-2
Derro Fetal Savant,1,Humanoid,Humanoid,-1,-1,15,2,4,1,1,6,6,12,20,-5.0,-5.0,-2.0,-2.0,3.0,7.0,3.0,0,0,1,2,13,18.0,0.0,0.0,0.0,0.0,1,4.0,2,0,0,3,0,5.0,0.0,-2,3,1,-2,0.0,-5,0.0,5,1,0.0,5,-2,0,-5,-5,1,-2,-2,5,5
Derro Shadow Antipaladin,2,Humanoid,derro,-1,-1,18,82,11,11,18,18,11,5,14,3.0,4.0,4.0,0.0,0.0,5.0,0.0,0,0,0,0,10,36.0,0.0,0.0,0.0,0.0,2,5.0,4,0,0,6,0,30.0,0.0,0,-3,-3,0,0.0,7,0.0,2,-3,0.0,2,0,0,0,4,-3,0,0,2,2
Arbeyach,4,Fiend,devil,1,-1,17,275,22,22,20,25,19,21,25,6.0,12.0,14.0,4.0,12.0,14.0,12.0,0,5,2,4,22,0.0,0.0,0.0,36.0,36.0,5,21.0,4,0,3,7,0,40.0,0.0,4,12,5,4,80.0,12,20.0,7,12,40.0,14,4,1,6,5,5,4,4,7,7
Spawn Of Arbeyach,3,Fiend,devil,1,-1,17,78,12,18,15,15,10,13,12,4.0,2.0,2.0,0.0,4.0,1.0,4.0,0,0,1,1,14,18.0,0.0,18.0,0.0,0.0,1,5.0,3,0,0,2,0,40.0,0.0,0,4,1,0,0.0,5,0.0,1,1,20.0,1,0,0,4,2,1,0,0,1,1
Ia'affrat,4,Elemental,Swarm,1,-1,17,170,20,3,21,16,20,18,23,-4.0,10.0,8.0,5.0,9.0,11.0,9.0,-1,0,5,8,19,36.0,3.0,0.0,0.0,0.0,4,15.0,3,0,0,5,0,5.0,0.0,5,9,4,5,40.0,5,0.0,11,9,0.0,11,10,1,-4,5,4,5,5,6,6
Automata Devil,4,Fiend,devil,1,-1,17,168,16,24,17,20,11,14,19,11.0,7.0,9.0,0.0,6.0,8.0,2.0,0,4,2,1,12,36.0,0.0,0.0,0.0,30.0,3,10.0,6,0,0,3,0,40.0,0.0,0,2,2,0,0.0,3,0.0,4,2,0.0,4,0,0,11,3,2,0,0,8,4
Chort Devil,3,Fiend,devil,1,-1,18,187,15,24,20,26,18,20,20,11.0,9.0,12.0,8.0,5.0,9.0,9.0,0,3,3,1,19,36.0,0.0,0.0,0.0,0.0,6,12.0,4,0,0,3,0,30.0,0.0,4,9,5,4,0.0,5,0.0,5,9,0.0,9,4,0,11,5,5,4,4,5,5
Crystalline Devil,3,Fiend,devil,1,-1,15,102,12,18,12,18,14,13,15,4.0,1.0,4.0,2.0,4.0,4.0,1.0,0,5,2,1,11,36.0,0.0,0.0,0.0,36.0,4,6.0,4,0,0,5,0,30.0,0.0,2,1,1,2,0.0,1,0.0,2,4,0.0,8,2,0,4,1,1,2,2,2,2
Gilded Devil,3,Fiend,devil,1,-1,16,112,15,17,15,17,15,18,17,6.0,2.0,6.0,2.0,7.0,6.0,4.0,0,4,2,1,14,18.0,0.0,0.0,0.0,0.0,5,7.0,6,0,0,5,0,30.0,0.0,5,4,4,2,0.0,2,0.0,9,10,0.0,9,2,0,3,2,4,2,2,3,3
Ink Devil,2,Fiend,devil,1,-1,14,54,12,12,18,12,20,8,18,1.0,6.0,1.0,5.0,-1.0,4.0,-1.0,0,4,2,1,9,36.0,0.0,0.0,0.0,0.0,5,2.0,5,0,0,3,0,30.0,0.0,9,-1,-1,5,0.0,8,0.0,4,-1,0.0,8,9,0,1,4,-1,5,5,4,4
Koralk (Harvester Devil),4,Fiend,devil,1,-1,15,136,16,16,13,17,10,11,13,3.0,1.0,7.0,0.0,4.0,5.0,0.0,0,4,2,1,10,36.0,0.0,0.0,0.0,36.0,2,11.0,4,0,0,3,0,40.0,0.0,0,0,0,0,0.0,1,0.0,1,0,0.0,1,0,0,3,1,0,0,0,1,1
Lunar Devil,4,Fiend,devil,1,-1,16,94,9,21,21,20,16,15,18,8.0,8.0,8.0,3.0,5.0,4.0,5.0,0,4,2,1,15,36.0,0.0,0.0,0.0,36.0,6,8.0,5,0,0,6,0,40.0,0.0,3,5,2,3,60.0,5,0.0,4,2,0.0,4,3,1,5,5,2,3,3,4,4
Orobas Devil,4,Fiend,devil,1,-1,19,261,14,26,14,28,23,26,21,12.0,7.0,14.0,6.0,13.0,5.0,13.0,0,5,2,1,23,0.0,0.0,0.0,27.0,30.0,8,14.0,5,0,0,5,0,40.0,0.0,11,13,8,6,0.0,2,0.0,10,13,0.0,10,6,0,8,2,8,6,6,5,5
Salt Devil,3,Fiend,devil,1,-1,13,93,11,18,13,18,13,14,15,4.0,4.0,7.0,1.0,2.0,5.0,5.0,0,5,2,1,15,36.0,0.0,0.0,0.0,36.0,5,6.0,2,0,0,4,0,30.0,0.0,1,5,2,1,0.0,4,0.0,2,2,0.0,2,1,0,4,1,2,1,1,2,2
Mbielu,5,Beast,Beast,0,0,15,95,10,19,14,16,2,12,6,4.0,2.0,3.0,-4.0,1.0,-2.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,1,3.0,1,1,0,1,0,30.0,20.0,-4,3,1,-4,0.0,2,0.0,-2,1,0.0,-2,-4,0,4,2,1,-4,-4,-2,-2
Ngobou,4,Beast,Beast,0,0,15,85,10,20,9,16,2,9,6,5.0,-1.0,3.0,-4.0,-1.0,-2.0,5.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,1,5.0,2,0,0,3,0,40.0,0.0,-4,5,-1,-4,0.0,-1,0.0,-2,-1,0.0,-2,-4,0,5,-1,-1,-4,-4,-2,-2
Spinosaurus,6,Beast,Beast,0,0,15,231,14,27,9,22,2,11,10,8.0,-1.0,6.0,-4.0,0.0,0.0,5.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,1,13.0,5,0,3,2,0,60.0,40.0,-4,5,0,-4,0.0,-1,0.0,0,0,0.0,0,-4,0,8,-1,0,-4,-4,0,0
Young Spinosaurus,5,Beast,Beast,0,0,14,105,10,23,11,19,2,11,8,6.0,0.0,4.0,-4.0,0.0,-1.0,3.0,0,0,0,0,13,0.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,1,0,50.0,30.0,-4,3,0,-4,0.0,0,0.0,-1,0,0.0,-1,-4,0,6,0,0,-4,-4,-1,-1
Dipsa,1,Ooze,Ooze,0,0,15,27,6,3,17,14,1,6,1,-4.0,3.0,2.0,-5.0,-2.0,-5.0,-2.0,0,1,0,6,8,0.0,18.0,0.0,0.0,0.0,1,0.25,1,0,0,4,0,20.0,20.0,-5,-2,-2,-5,0.0,7,0.0,-5,-2,20.0,-5,-5,0,-4,3,-2,-5,-5,-5,-5
Dissimortuum,3,Undead,Undead,-1,-1,15,112,15,14,10,16,8,11,18,2.0,0.0,6.0,-1.0,0.0,4.0,0.0,0,3,2,3,10,18.0,0.0,0.0,0.0,0.0,1,7.0,3,0,0,1,0,30.0,0.0,-1,0,0,-1,0.0,0,0.0,4,0,30.0,4,-1,0,2,0,0,-1,-1,4,4
Dogmole,3,Beast,Beast,0,0,14,71,11,14,17,15,2,12,10,2.0,3.0,2.0,-4.0,1.0,0.0,1.0,0,0,0,0,11,0.0,9.0,0.0,0.0,0.0,1,1.0,3,0,0,2,0,30.0,10.0,-4,1,1,-4,0.0,3,10.0,0,1,0.0,0,-4,0,2,3,1,-4,-4,0,0
Dogmole Juggernaut,4,Monstrosity,Monstrosity,0,0,15,126,12,21,14,20,2,10,2,5.0,2.0,11.0,-4.0,0.0,-4.0,0.0,0,0,0,0,10,0.0,9.0,0.0,0.0,0.0,1,5.0,3,0,0,4,0,30.0,10.0,-4,0,0,-4,0.0,2,10.0,-4,0,0.0,-4,-4,0,5,2,0,-4,-4,-4,-4
