name,hit_points,armor_class,wisdom_save,constitution_save,damage_resistances_count,damage_immunities_count,offensive_threat,max_damage_per_hit,intelligence_save,legendary_actions_count,charisma_save,hit_dice_count,dexterity_save,condition_immunities_count,passive_perception,special_abilities_count,charisma,skills.arcana,skills.stealth,constitution,cr
Serpopard,85,15,1.0,3.0,1,0,48,12,-4.0,0,-2.0,10,3.0,1,13,2,6,-4.0,5.0,16,4.0
Shabti,102,17,0.0,4.0,0,5,21,7,-2.0,0,-2.0,12,5.0,6,10,4,6,-2.0,5.0,18,8.0
Shadhavar,97,14,0.0,2.0,0,0,36,12,-1.0,0,3.0,13,2.0,0,12,4,16,-1.0,4.0,14,2.0
Shadow Beast,135,14,2.0,6.0,0,0,64,16,2.0,0,4.0,18,7.0,0,12,5,19,2.0,7.0,17,7.0
Shellycoat,75,14,-1.0,3.0,0,0,36,12,1.0,0,-2.0,10,2.0,2,11,4,7,1.0,4.0,16,2.0
Shoggoth,387,18,3.0,9.0,3,3,60,30,1.0,0,1.0,25,2.0,5,19,6,13,1.0,2.0,28,19.0
Shroud,9,13,0.0,0.0,8,2,3,3,-4.0,0,-1.0,2,1.0,8,10,4,8,-4.0,3.0,10,0.125
Skein Witch,162,20,10.0,2.0,1,3,108,27,8.0,0,10.0,25,1.0,0,25,5,20,3.0,1.0,14,12.0
Sharkjaw Skeleton,45,13,-1.0,2.0,0,3,36,12,-2.0,0,-3.0,6,0.0,2,11,0,4,-2.0,2.0,15,1.0
Vine Troll Skeleton,119,16,-1.0,12.0,1,1,63,21,-2.0,0,-3.0,14,1.0,3,12,1,5,-2.0,1.0,16,9.0
Skitterhaunt,95,14,-2.0,4.0,0,1,28,7,-5.0,0,-5.0,10,0.0,6,8,2,1,-5.0,0.0,19,4.0
Slow Storm,225,19,3.0,11.0,3,1,62,31,0.0,0,0.0,18,9.0,1,13,3,11,0.0,4.0,22,15.0
Swamp Adder,18,13,0.0,1.0,0,0,1,1,-5.0,0,-3.0,4,3.0,0,10,1,4,-5.0,3.0,12,0.25
Zanskaran Viper,38,14,1.0,4.0,0,0,10,10,-4.0,0,-4.0,4,0.0,0,11,0,2,-4.0,0.0,18,1.0
Son Of Fenris,175,17,8.0,10.0,2,6,76,19,3.0,0,2.0,14,7.0,6,14,5,14,7.0,3.0,23,12.0
Soul Eater,104,16,0.0,5.0,3,1,39,13,1.0,0,3.0,16,9.0,4,13,2,11,1.0,9.0,14,7.0
Spark,84,16,1.0,4.0,7,1,0,0,0.0,0,3.0,13,8.0,7,11,1,17,0.0,5.0,18,7.0
Spectral Guardian,110,14,6.0,4.0,7,3,26,13,0.0,0,4.0,13,7.0,9,13,4,18,0.0,4.0,18,6.0
Gypsosphinx,171,17,4.0,4.0,3,2,128,32,4.0,3,4.0,18,2.0,1,19,4,18,9.0,2.0,18,14.0
Ghostwalk Spider,119,15,2.0,9.0,0,1,48,16,-1.0,0,3.0,14,5.0,1,16,4,8,-1.0,5.0,17,9.0
J'ba Fofi Spider,75,18,1.0,2.0,0,0,8,8,-3.0,0,-2.0,10,3.0,0,11,6,6,-3.0,5.0,15,3.0
Red-Banded Line Spider,2,13,0.0,0.0,0,1,2,1,-5.0,0,-4.0,1,3.0,2,12,2,2,-5.0,5.0,10,0.25
Sand Spider,105,15,1.0,2.0,0,0,48,16,-3.0,0,-3.0,14,3.0,0,14,3,4,-3.0,6.0,14,7.0
Spider Of Leng,144,15,0.0,6.0,1,0,64,16,6.0,0,0.0,17,6.0,3,13,4,10,3.0,6.0,16,7.0
Spider Thief,54,13,0.0,1.0,1,2,30,10,-4.0,0,-5.0,12,1.0,6,10,3,1,-4.0,3.0,12,2.0
Spire Walker,38,16,0.0,2.0,1,2,1,1,0.0,0,2.0,11,7.0,0,10,3,14,0.0,4.0,14,3.0
Star Spawn Of Cthulhu,187,17,9.0,12.0,3,5,128,32,15.0,0,6.0,15,2.0,5,24,3,23,15.0,2.0,24,15.0
Stryx,10,13,2.0,0.0,0,0,1,1,-1.0,0,-2.0,4,3.0,0,14,4,6,-1.0,5.0,11,0.125
Stuhac,190,18,3.0,10.0,4,2,116,29,1.0,0,7.0,20,9.0,1,13,3,15,1.0,4.0,20,13.0
Subek,76,17,1.0,4.0,0,0,88,22,2.0,0,1.0,8,0.0,0,11,3,13,2.0,0.0,18,5.0
Suturefly,7,14,1.0,0.0,0,0,1,1,-5.0,0,-3.0,3,4.0,0,11,2,4,-5.0,6.0,10,0.25
Fire Dancer Swarm,90,15,0.0,3.0,3,2,21,21,-2.0,0,-2.0,12,5.0,9,10,4,7,-2.0,5.0,16,7.0
Manabane Scarab Swarm,75,15,1.0,3.0,3,0,14,14,-5.0,0,-4.0,10,3.0,7,13,4,2,-5.0,5.0,16,4.0
Prismatic Beetle Swarm,38,13,1.0,1.0,3,0,10,10,-5.0,0,-4.0,7,3.0,7,13,2,2,-5.0,5.0,12,3.0
Sluagh Swarm,54,13,1.0,0.0,4,0,28,28,-2.0,0,0.0,12,3.0,7,11,4,10,-2.0,5.0,11,3.0
Wolf Spirit Swarm,97,16,0.0,1.0,4,1,32,8,-3.0,0,1.0,15,6.0,5,13,1,12,-3.0,6.0,12,6.0
Temple Dog,97,15,5.0,5.0,3,0,34,17,2.0,0,0.0,15,2.0,0,15,3,10,-1.0,2.0,15,5.0
Thuellai,149,17,4.0,5.0,5,1,90,15,4.0,0,6.0,13,7.0,8,14,2,14,0.0,7.0,20,10.0
Ancient Titan,198,15,7.0,10.0,3,0,152,38,3.0,0,9.0,12,1.0,0,17,2,20,3.0,1.0,22,12.0
Degenerate Titan,161,12,-1.0,5.0,0,0,145,29,-2.0,0,-2.0,14,-2.0,0,12,1,7,-2.0,-2.0,20,8.0
Titanoboa,232,14,5.0,5.0,0,0,81,27,-4.0,0,-4.0,15,5.0,0,15,2,3,-4.0,0.0,20,12.0
Tophet,184,16,0.0,8.0,1,3,36,12,-2.0,0,0.0,16,3.0,5,13,2,10,-2.0,0.0,20,8.0
Tosculi Hive-Queen,157,17,8.0,10.0,0,1,70,14,3.0,3,9.0,15,12.0,2,18,4,18,3.0,7.0,20,12.0
Tosculi Warrior,58,15,1.0,3.0,0,0,50,10,0.0,0,1.0,9,5.0,0,11,1,12,0.0,5.0,16,2.0
Tosculi Drone,22,13,1.0,2.0,0,0,16,8,-1.0,0,-3.0,4,3.0,0,11,2,4,-1.0,3.0,14,0.5
Tosculi Elite Bow Raider,97,16,2.0,3.0,0,0,51,17,1.0,0,1.0,13,4.0,0,16,4,12,1.0,7.0,17,5.0
Treacle,22,13,-5.0,3.0,0,0,0,0,-5.0,0,0.0,4,-2.0,0,10,2,10,-5.0,-2.0,17,0.25
Weeping Treant,105,17,3.0,5.0,2,0,63,21,1.0,0,0.0,10,-1.0,0,13,3,11,1.0,-1.0,20,6.0
Lake Troll,126,15,0.0,5.0,0,0,42,14,-1.0,0,-2.0,12,1.0,0,13,3,6,-1.0,1.0,20,7.0
Trollkin Reaver,82,14,3.0,5.0,0,0,48,8,0.0,0,3.0,11,1.0,0,11,2,13,0.0,1.0,16,4.0
Tusked Skyfish,102,14,2.0,3.0,0,1,52,13,-4.0,0,0.0,12,1.0,0,12,1,10,-4.0,1.0,17,4.0
Uraeus,40,14,2.0,2.0,4,1,10,5,0.0,0,-1.0,9,2.0,1,14,2,9,0.0,2.0,14,2.0
Urochar (Strangling Watcher),256,19,9.0,13.0,5,1,60,20,2.0,3,11.0,19,8.0,1,19,4,20,2.0,8.0,24,17.0
Ushabti,105,18,4.0,7.0,0,4,36,12,0.0,0,3.0,10,3.0,6,18,5,9,4.0,3.0,20,9.0
Vaettir,120,15,3.0,5.0,0,2,55,11,0.0,0,4.0,16,4.0,3,11,4,14,0.0,2.0,16,4.0
Valkyrie,112,16,8.0,11.0,5,3,16,8,5.0,3,12.0,15,12.0,1,18,4,18,1.0,4.0,16,11.0
Umbral Vampire,84,14,2.0,7.0,7,3,18,18,2.0,0,7.0,13,4.0,7,15,5,19,2.0,7.0,15,7.0
Vapor Lynx,127,14,1.0,3.0,0,0,68,17,0.0,0,2.0,15,4.0,0,14,2,14,0.0,7.0,16,5.0
Vesiculosa,203,15,2.0,4.0,3,0,0,0,-4.0,0,-4.0,14,0.0,5,16,5,2,-4.0,0.0,19,11.0
Vila,77,15,5.0,4.0,3,0,45,9,0.0,0,6.0,14,8.0,0,18,4,16,0.0,8.0,13,5.0
Vile Barber,28,15,-1.0,0.0,3,0,18,6,0.0,0,0.0,8,4.0,1,9,6,10,0.0,6.0,10,2.0
Vine Lord,105,16,6.0,6.0,0,0,40,8,2.0,0,7.0,14,5.0,2,13,4,18,2.0,5.0,16,7.0
Vine Lord's Tendril Puppet,34,13,-2.0,4.0,0,0,24,12,-2.0,0,-1.0,4,1.0,2,8,5,8,-2.0,1.0,18,2.0
Voidling,110,16,7.0,4.0,0,1,30,10,6.0,0,4.0,20,6.0,3,13,4,10,2.0,10.0,10,11.0
Wampus Cat,58,14,2.0,2.0,0,0,22,11,1.0,0,3.0,9,4.0,0,12,3,16,1.0,4.0,15,1.0
Water Leaper,97,14,1.0,2.0,0,0,50,10,-3.0,0,-3.0,13,2.0,0,11,2,5,-3.0,2.0,15,4.0
Wharfling,6,13,1.0,-1.0,0,0,10,5,-4.0,0,-1.0,4,3.0,0,13,0,8,-4.0,3.0,8,0.125
Wharfling Swarm,63,14,1.0,-1.0,3,0,63,21,-4.0,0,-2.0,14,3.0,7,13,1,7,-4.0,3.0,8,4.0
White Ape,114,14,2.0,4.0,0,0,60,15,-1.0,0,-1.0,12,3.0,0,15,2,8,-1.0,6.0,18,6.0
Witchlight,10,14,1.0,0.0,0,2,12,6,0.0,0,-2.0,4,4.0,6,13,3,7,0.0,4.0,10,0.25
Wormhearted Suffragan,97,12,3.0,3.0,4,0,14,7,0.0,0,-1.0,13,2.0,0,13,1,8,0.0,2.0,16,5.0
Xanka,18,15,0.0,1.0,0,0,6,6,-3.0,0,-2.0,4,2.0,3,10,3,7,-3.0,2.0,12,0.25
Xhkarsh,133,19,3.0,4.0,0,0,60,12,2.0,0,5.0,14,5.0,0,16,0,15,2.0,8.0,18,8.0
Ychen Bannog,231,17,1.0,6.0,1,0,124,31,-4.0,0,0.0,14,0.0,1,11,3,10,-4.0,0.0,23,11.0
Zaratan,507,25,8.0,9.0,6,2,104,26,8.0,3,8.0,26,-4.0,3,10,4,11,0.0,-4.0,28,26.0
Zimwi,76,17,-1.0,4.0,0,0,39,13,-2.0,0,-2.0,9,4.0,0,11,0,7,-2.0,4.0,19,4.0
Zmey,189,18,8.0,9.0,2,0,95,19,3.0,3,6.0,18,1.0,2,18,6,12,3.0,1.0,19,14.0
Zmey Headling,105,16,3.0,-5.0,2,0,80,16,-1.0,0,-1.0,14,0.0,2,13,2,8,-1.0,0.0,1,5.0
Bandit Lord,91,16,2.0,2.0,0,0,40,10,2.0,0,2.0,14,4.0,0,10,1,14,2.0,2.0,14,4.0
Black Knight Commander,78,18,4.0,2.0,0,0,44,11,1.0,0,5.0,12,0.0,0,11,3,15,1.0,0.0,14,5.0
City Watch Captain,91,17,0.0,2.0,0,0,42,7,0.0,0,1.0,14,3.0,0,12,1,13,0.0,3.0,14,4.0
Devilbound Gnomish Prince,104,12,1.0,6.0,6,0,4,4,7.0,0,10.0,19,2.0,1,11,6,22,7.0,2.0,15,9.0
Dwarven Ringmage,82,16,4.0,4.0,1,0,6,3,7.0,0,-1.0,15,2.0,0,11,4,9,7.0,2.0,13,7.0
Elvish Veteran Archer,77,15,1.0,1.0,0,0,32,8,0.0,0,0.0,14,3.0,0,15,6,11,0.0,5.0,12,3.0
Ghost Knight,97,17,0.0,2.0,1,1,50,10,-1.0,0,-2.0,15,2.0,3,13,4,7,-1.0,5.0,14,6.0
"Ogre Chieftain, Corrupted",127,17,-2.0,6.0,0,0,42,14,-3.0,0,2.0,15,-1.0,0,8,2,8,-3.0,-1.0,16,6.0
Scorpion Cultist,19,13,1.0,2.0,1,0,15,5,0.0,0,0.0,3,2.0,0,13,1,10,0.0,4.0,15,0.5
Wolf Reaver Dwarf,76,16,0.0,4.0,0,0,32,8,-1.0,0,-1.0,9,1.0,0,10,4,9,-1.0,1.0,19,3.0
Emerald Order Cult Leader,117,14,8.0,2.0,3,0,6,3,5.0,0,5.0,18,0.0,0,15,3,15,5.0,0.0,14,8.0
Vampire Warlock - Variant,144,16,7.0,4.0,4,0,0,0,3.0,2,9.0,17,9.0,0,17,1,18,3.0,9.0,18,13.0
Aatxe,105,14,2.0,5.0,0,0,38,19,0.0,3,2.0,10,1.0,2,12,4,14,0.0,1.0,20,5.0
Acid Ant,13,13,-2.0,1.0,0,1,10,5,-5.0,0,-4.0,3,1.0,0,8,2,3,-5.0,1.0,12,0.25
Adult Light Dragon,212,17,9.0,11.0,4,1,102,17,3.0,3,8.0,17,5.0,1,19,5,17,8.0,0.0,23,16.0
Adult Wasteland Dragon,225,18,1.0,11.0,0,1,114,19,2.0,3,3.0,18,6.0,0,16,1,16,2.0,5.0,21,17.0
Agnibarra,39,12,0.0,3.0,0,1,18,9,-1.0,0,1.0,6,2.0,0,10,2,12,-1.0,2.0,16,1.0
Ahu-Nixta,67,14,1.0,2.0,0,2,32,8,4.0,0,0.0,9,2.0,7,13,3,10,4.0,2.0,14,3.0
Ahuizotl,71,14,1.0,2.0,0,0,24,6,-2.0,0,-2.0,13,2.0,0,13,2,6,-2.0,2.0,14,2.0
Alabaster Tree,105,18,2.0,4.0,3,1,60,12,0.0,0,0.0,10,0.0,1,15,4,10,0.0,0.0,18,7.0
Albino Death Weasel,45,13,2.0,2.0,0,0,24,8,-3.0,0,-3.0,6,2.0,0,14,2,5,-3.0,4.0,15,1.0
Alchemical Apprentice,63,11,-2.0,1.0,4,0,20,10,3.0,0,0.0,14,-2.0,6,8,4,10,5.0,-2.0,13,1.0
Alchemical Golem,147,15,0.0,5.0,4,5,39,13,-2.0,0,-5.0,14,-2.0,6,10,5,1,-2.0,-2.0,21,9.0
Alchemist Archer,135,17,2.0,3.0,0,0,27,9,8.0,0,0.0,18,5.0,0,16,3,10,4.0,9.0,16,10.0
Alkonost,17,12,2.0,0.0,1,0,8,4,-2.0,0,1.0,5,2.0,0,12,1,13,-2.0,2.0,10,0.5
Alliumite,18,14,1.0,1.0,0,0,14,7,-2.0,0,-1.0,4,4.0,0,13,2,9,-2.0,6.0,12,0.25
Alnaar,212,17,1.0,7.0,3,2,42,14,-1.0,0,0.0,25,10.0,2,15,2,10,-1.0,6.0,17,9.0
Alp,44,13,3.0,2.0,2,0,8,8,0.0,0,-1.0,8,3.0,4,13,4,8,0.0,3.0,14,1.0
Alpha Yek,129,16,1.0,7.0,6,1,68,17,6.0,0,0.0,16,7.0,1,15,2,10,2.0,7.0,16,9.0
Altar Flame Golem,152,16,0.0,4.0,0,6,39,13,-4.0,0,-5.0,16,-1.0,6,10,7,1,-4.0,-1.0,18,10.0
Ammut,172,17,3.0,10.0,2,1,128,32,-2.0,0,1.0,15,1.0,1,21,3,12,-2.0,1.0,23,9.0
Ancient Light Dragon,407,22,12.0,15.0,1,4,95,19,4.0,3,11.0,22,7.0,1,22,5,19,11.0,0.0,27,22.0
Ancient Mandriano,102,14,0.0,2.0,4,1,60,15,1.0,0,-2.0,12,-1.0,2,13,1,7,1.0,2.0,15,8.0
Ancient Wasteland Dragon,333,22,9.0,15.0,0,1,120,20,3.0,3,11.0,18,7.0,0,19,1,19,3.0,7.0,26,23.0
Ankou Soul Herald,407,18,11.0,15.0,0,3,144,18,3.0,3,11.0,22,7.0,4,28,4,19,3.0,7.0,27,21.0
Ankou Soul Seeker,171,15,5.0,7.0,0,3,84,14,1.0,0,5.0,18,3.0,4,18,3,16,1.0,3.0,19,8.0
Anophiloi,33,12,1.0,2.0,1,0,15,5,-3.0,0,-2.0,6,2.0,1,11,2,6,-3.0,4.0,14,1.0
Arborcyte,127,16,0.0,6.0,2,0,54,18,-3.0,0,-4.0,15,1.0,1,10,1,3,-3.0,1.0,16,8.0
Arcamag,22,13,1.0,2.0,0,0,0,0,-3.0,0,4.0,5,0.0,0,11,2,18,-3.0,4.0,15,2.0
Arcanaphage,60,14,0.0,3.0,3,0,26,13,-4.0,0,-1.0,8,4.0,5,12,4,8,-4.0,4.0,16,4.0
Archaeopteryx,7,12,2.0,0.0,0,0,9,3,-4.0,0,-2.0,3,1.0,0,12,1,6,-4.0,1.0,10,0.25
Armory Golem,136,15,0.0,3.0,0,5,55,11,0.0,0,-4.0,16,2.0,6,10,5,2,0.0,2.0,16,7.0
Astral Snapper,78,12,3.0,4.0,2,0,18,9,1.0,0,-1.0,12,2.0,0,15,1,8,4.0,4.0,14,3.0
Avatar of Shoth,341,18,12.0,12.0,0,3,155,31,4.0,3,13.0,22,-1.0,3,22,5,22,4.0,-1.0,20,21.0
Azeban,78,16,1.0,2.0,4,0,40,10,2.0,0,4.0,12,5.0,2,11,3,18,2.0,5.0,14,4.0
Azi Dahaka,157,15,6.0,9.0,4,1,48,12,2.0,2,8.0,15,7.0,0,21,5,17,2.0,7.0,19,14.0
Bar Brawl,67,12,0.0,1.0,2,0,56,14,0.0,0,-1.0,9,1.0,7,10,2,9,0.0,1.0,13,3.0
Barong,225,20,12.0,13.0,3,1,44,11,4.0,3,12.0,18,5.0,3,22,4,22,4.0,5.0,25,17.0
Bathhouse Drake,75,16,4.0,3.0,1,1,35,7,1.0,0,2.0,10,2.0,1,16,3,15,1.0,2.0,17,3.0
Bearfolk Chieftain,130,17,5.0,3.0,0,0,56,14,-1.0,0,1.0,20,4.0,0,12,4,12,-1.0,2.0,16,6.0
Bearmit Crab,59,14,1.0,3.0,1,0,24,8,-3.0,0,-2.0,7,1.0,0,13,3,6,-3.0,1.0,16,2.0
Bilwis,49,13,1.0,0.0,2,1,24,12,0.0,0,3.0,11,3.0,8,11,1,16,0.0,3.0,10,1.0
Black Sun Orc,65,14,1.0,2.0,0,0,21,7,-1.0,0,-1.0,10,2.0,0,13,4,8,-1.0,4.0,14,2.0
Black Sun Priestess,67,13,3.0,3.0,0,0,7,7,-1.0,0,2.0,9,1.0,0,12,4,14,-1.0,1.0,16,3.0
Blood Elemental,95,14,0.0,4.0,5,2,36,12,-3.0,0,-3.0,10,1.0,8,10,3,5,-3.0,1.0,18,5.0
Blood Giant,126,15,6.0,7.0,1,2,112,28,-1.0,0,-3.0,12,4.0,2,16,2,5,-1.0,1.0,18,8.0
Blood Ooze,76,8,-1.0,4.0,0,4,6,6,-5.0,0,-4.0,8,-2.0,6,9,3,2,-5.0,-2.0,18,6.0
Blood Zombie,51,10,-2.0,4.0,0,1,7,7,-4.0,0,-3.0,6,-2.0,1,8,2,5,-4.0,-2.0,18,2.0
Bloody Bones,55,13,0.0,1.0,0,0,24,8,-2.0,0,0.0,10,1.0,0,11,2,10,-2.0,3.0,12,3.0
Bone Golem,60,16,0.0,3.0,3,3,30,10,-4.0,0,-5.0,8,3.0,6,10,6,1,-4.0,3.0,17,7.0
Bookkeeper,5,12,-1.0,0.0,3,3,9,3,-2.0,0,-4.0,2,2.0,6,11,3,3,-2.0,4.0,10,0.125
Boot Grabber,22,11,1.0,2.0,1,0,16,8,-3.0,0,-4.0,4,1.0,1,13,3,2,-3.0,3.0,14,0.5
Bronze Golem,57,13,0.0,4.0,4,2,21,7,-5.0,0,-5.0,6,-2.0,6,14,4,1,-5.0,-2.0,18,3.0
Cacus Giant,138,16,5.0,8.0,0,1,108,27,-2.0,0,0.0,12,0.0,0,15,1,10,-2.0,0.0,20,6.0
Carbuncle,36,12,3.0,1.0,0,0,24,6,0.0,0,1.0,8,2.0,1,15,2,12,0.0,6.0,12,1.0
Cats of Ulthar,55,14,2.0,0.0,3,0,14,14,-4.0,0,-4.0,10,4.0,7,12,3,3,-4.0,6.0,10,4.0
Cauldronborn,13,13,-2.0,1.0,2,1,21,7,-4.0,0,-5.0,3,-2.0,6,8,4,1,-4.0,-2.0,12,2.0
Cave Giant,200,16,5.0,10.0,0,0,120,30,-1.0,0,-2.0,16,4.0,0,15,1,6,-1.0,0.0,22,10.0
Centaur Chieftain,110,16,5.0,5.0,0,0,77,11,-1.0,0,2.0,17,4.0,0,15,1,14,-1.0,1.0,14,5.0
Chaos-Spawn Goblin,22,13,0.0,1.0,1,0,15,5,0.0,0,-2.0,5,2.0,1,10,1,6,0.0,6.0,12,0.5
Child of Yggdrasil,112,14,4.0,2.0,0,3,14,7,0.0,0,-1.0,15,0.0,0,17,3,8,0.0,3.0,14,6.0
Chuhaister,157,16,0.0,8.0,0,1,99,33,0.0,0,1.0,15,-1.0,2,10,2,12,0.0,-1.0,20,7.0
Chupacabra,36,13,1.0,1.0,0,0,12,6,-4.0,0,-2.0,8,2.0,1,13,2,6,-4.0,4.0,12,0.5
Cipactli,78,15,0.0,2.0,1,2,28,7,0.0,0,0.0,12,2.0,1,10,3,10,0.0,5.0,14,5.0
Clacking Skeleton,45,14,-1.0,0.0,0,1,28,7,-2.0,0,-3.0,10,1.0,2,9,1,5,-2.0,1.0,11,2.0
Clockwork Assassin,99,16,1.0,4.0,0,2,21,7,1.0,0,-2.0,18,6.0,6,14,7,7,1.0,9.0,12,6.0
Clockwork Servant,22,11,1.0,1.0,0,2,5,5,-1.0,0,-2.0,4,1.0,6,15,3,7,-1.0,1.0,13,0.125
Clockwork Soldier,45,12,0.0,3.0,0,2,14,7,-3.0,0,-5.0,6,1.0,6,10,3,1,-3.0,1.0,16,1.0
Corpse Thief,30,13,1.0,3.0,0,0,15,5,0.0,0,-2.0,4,3.0,0,11,1,6,0.0,5.0,16,0.5
Crimson Mist,68,15,4.0,4.0,6,3,0,0,-4.0,0,2.0,8,8.0,9,11,3,18,-4.0,2.0,18,6.0
Crypt Spider,38,15,0.0,1.0,0,1,18,6,0.0,0,-1.0,7,3.0,1,10,4,8,0.0,5.0,12,2.0
Cueyatl Moon Priest,81,13,3.0,4.0,0,0,8,4,0.0,0,1.0,18,1.0,0,16,5,12,0.0,1.0,12,5.0
Cueyatl Sea Priest,45,12,2.0,1.0,0,0,3,3,0.0,0,0.0,10,3.0,0,12,6,10,0.0,1.0,12,1.0
Cueyatl Warrior,36,13,0.0,1.0,0,0,6,6,0.0,0,0.0,8,2.0,0,10,4,10,0.0,2.0,12,1.0
Cueyatl,21,11,0.0,0.0,0,0,3,3,0.0,0,0.0,6,1.0,0,10,4,10,0.0,3.0,11,0.5
Darakhul High Priestess,112,17,8.0,3.0,1,1,30,10,1.0,0,6.0,15,2.0,3,14,6,15,1.0,2.0,16,9.0
Darakhul Shadowmancer,52,12,3.0,2.0,1,1,33,11,6.0,0,-1.0,8,3.0,3,11,6,9,6.0,7.0,14,4.0
Dark Eye,71,16,1.0,2.0,0,0,8,4,-1.0,0,3.0,11,2.0,0,13,3,16,-1.0,2.0,15,3.0
Dark Father,65,18,2.0,2.0,3,2,28,14,-1.0,0,-1.0,10,2.0,8,12,3,8,-1.0,4.0,15,4.0
Dark Servant,55,12,0.0,1.0,0,0,15,5,0.0,0,0.0,10,1.0,0,10,4,10,0.0,1.0,13,1.0
Dark Voice,91,16,3.0,2.0,0,0,20,5,0.0,0,4.0,14,0.0,0,13,3,18,0.0,0.0,15,5.0
Deathsworn Elf,82,16,1.0,1.0,0,0,32,8,0.0,0,2.0,15,4.0,0,17,7,14,0.0,10.0,12,6.0
Desert Troll,105,15,1.0,5.0,0,1,36,12,-1.0,0,-2.0,10,1.0,0,14,5,7,-1.0,4.0,20,6.0
Devil Bough,114,14,0.0,6.0,0,2,51,17,0.0,0,-1.0,12,0.0,1,13,2,8,0.0,0.0,17,6.0
Devil Shark,198,16,10.0,11.0,1,1,87,29,2.0,0,2.0,12,7.0,0,20,5,14,2.0,7.0,22,13.0
Dhampir Commander,97,17,4.0,3.0,1,0,42,7,2.0,0,7.0,13,6.0,0,11,2,19,2.0,6.0,16,7.0
Dhampir,32,15,0.0,2.0,1,0,30,6,0.0,0,5.0,5,4.0,0,10,1,16,0.0,4.0,14,1.0
Doom Golem,153,17,0.0,3.0,0,6,92,23,-4.0,0,-5.0,18,1.0,6,10,5,1,-4.0,1.0,16,10.0
Dracotaur,110,17,1.0,6.0,0,1,72,12,0.0,0,5.0,13,3.0,0,14,1,15,0.0,3.0,16,6.0
Dream Squire,71,15,2.0,1.0,0,0,18,6,0.0,0,-1.0,13,2.0,1,12,2,8,0.0,2.0,12,2.0
Dream Wraith,60,14,2.0,3.0,8,2,22,11,1.0,0,3.0,8,4.0,1,12,3,16,1.0,7.0,17,5.0
Droth,230,16,7.0,9.0,2,1,120,30,2.0,0,9.0,20,-1.0,0,17,3,20,2.0,-1.0,20,12.0
Dust Goblin Chieftain,44,16,1.0,2.0,0,0,16,8,5.0,0,1.0,8,7.0,0,11,4,13,2.0,8.0,15,3.0
Dvarapala,136,14,6.0,7.0,0,0,75,25,0.0,0,-1.0,13,-1.0,3,16,5,9,0.0,-1.0,18,5.0
Echo,102,15,4.0,4.0,3,1,42,14,2.0,0,3.0,12,5.0,1,14,1,16,2.0,8.0,18,6.0
Ecstatic Bloom,171,15,9.0,3.0,0,1,81,27,9.0,0,2.0,18,-1.0,2,19,4,14,5.0,-1.0,16,11.0
Edjet,52,14,1.0,5.0,1,0,40,8,0.0,0,1.0,8,1.0,0,14,2,13,0.0,1.0,14,3.0
Elder Ghost Boar,104,15,1.0,3.0,0,0,32,16,-2.0,0,-2.0,11,-1.0,0,11,4,7,-2.0,-1.0,17,6.0
Elementalist,45,15,0.0,2.0,4,0,18,6,1.0,0,3.0,7,3.0,0,10,2,17,3.0,5.0,15,2.0
Elite Kobold,26,14,2.0,2.0,0,0,24,6,1.0,0,0.0,4,3.0,0,14,3,10,1.0,5.0,14,1.0
Elophar,126,8,-2.0,7.0,0,1,13,13,3.0,0,0.0,12,-2.0,1,6,3,10,3.0,-2.0,20,4.0
Enchanter,58,12,1.0,0.0,0,0,8,4,7.0,0,7.0,13,2.0,0,14,3,19,7.0,2.0,10,7.0
Execrable Shrub,40,14,2.0,0.0,2,1,8,4,-2.0,0,0.0,9,2.0,1,14,3,10,-2.0,2.0,10,0.5
Exploding Toad,2,12,-1.0,0.0,0,1,3,3,-3.0,0,-4.0,1,1.0,0,9,5,3,-3.0,5.0,11,0.25
Eye of the Gods,36,14,5.0,1.0,5,2,14,7,1.0,0,3.0,8,4.0,3,19,4,16,1.0,4.0,12,1.0
Fang of the Great Wolf,65,14,1.0,1.0,1,0,26,13,-1.0,0,-1.0,10,1.0,0,15,1,8,-1.0,1.0,13,3.0
Far Wanderer,88,14,0.0,1.0,1,0,39,13,3.0,0,0.0,16,6.0,2,12,2,10,5.0,6.0,12,3.0
Fear Liath,33,12,2.0,0.0,0,1,6,6,-1.0,0,-2.0,6,2.0,3,12,2,7,-1.0,6.0,10,2.0
Fey Drake,82,17,6.0,5.0,0,0,30,10,2.0,0,4.0,15,8.0,0,16,3,18,5.0,8.0,15,6.0
Fierstjerren,105,14,0.0,3.0,0,2,48,12,2.0,0,1.0,14,2.0,6,13,2,12,2.0,2.0,16,5.0
Fire Imp,14,13,0.0,1.0,4,2,14,7,0.0,0,2.0,4,2.0,1,10,4,14,0.0,4.0,12,0.5
Flame Eater Swarm,33,12,2.0,1.0,3,1,14,7,-4.0,0,-3.0,6,2.0,7,12,2,4,-4.0,2.0,12,2.0
Flame-Scourged Scion,125,16,2.0,10.0,2,0,45,15,3.0,0,6.0,10,3.0,3,16,3,15,3.0,3.0,22,9.0
Flesh Reaver,19,12,0.0,2.0,1,1,10,5,-3.0,0,-1.0,3,2.0,3,12,3,8,-3.0,2.0,14,0.5
Fleshpod Hornet,120,14,1.0,2.0,0,0,39,13,-4.0,0,-2.0,16,4.0,0,14,1,6,-4.0,4.0,15,6.0
