name,size_numeric,type,sub_race,ethics,morale,armor_class,hit_points,hit_dice_count,strength,dexterity,constitution,intelligence,wisdom,charisma,strength_save,dexterity_save,constitution_save,intelligence_save,wisdom_save,charisma_save,perception,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,passive_perception,sense_darkvision_m,sense_blindsight_m,sense_tremorsense_m,sense_truesight_m,lang_telepathy_m,languages_count,cr,actions_count,reactions_count,legendary_actions_count,special_abilities_count,spell_list_count,speed.walk,speed.swim,skills.history,skills.perception,skills.medicine,skills.religion,speed.fly,skills.stealth,speed.burrow,skills.persuasion,skills.insight,speed.climb,skills.deception,skills.arcana,speed.hover,skills.athletics,skills.acrobatics,skills.survival,skills.investigation,skills.nature,skills.intimidation,skills.performance,speed.lightwalking
Alehouse Drake,1,Dragon,Dragon,-1,0,13,65,10,7,16,19,11,12,16,-2.0,5.0,4.0,0.0,1.0,3.0,1.0,0,0,0,2,11,18.0,0.0,0.0,0.0,0.0,2,0.5,4,0,0,2,0,40.0,,,,,,80.0,,,5.0,3.0,,5.0,,,,,,,,,,
Ash Drake,2,Dragon,Dragon,0,-1,16,117,18,14,15,16,9,15,10,2.0,4.0,3.0,-1.0,2.0,0.0,2.0,0,1,0,2,12,18.0,0.0,0.0,0.0,0.0,2,4.0,5,0,0,0,0,30.0,,,,,,60.0,4.0,,,,,,,,,,,,,,,
Coral Drake,3,Dragon,Dragon,0,-1,16,127,15,19,1,18,10,13,10,4.0,6.0,4.0,0.0,1.0,0.0,4.0,0,1,0,4,17,36.0,0.0,0.0,0.0,0.0,1,7.0,5,0,0,2,0,30.0,60.0,,4.0,,,,6.0,,,,,,,,,6.0,,,,,,
Crimson Drake,1,Dragon,Dragon,-1,-1,14,54,12,10,14,14,8,9,14,0.0,4.0,2.0,-1.0,-1.0,2.0,1.0,0,0,1,2,11,18.0,0.0,0.0,0.0,18.0,3,1.0,4,0,0,1,0,15.0,,,1.0,,,80.0,,,,,,,,,,4.0,,,,,,
Deep Drake,4,Dragon,Dragon,-1,-1,17,150,20,21,19,14,11,14,12,5.0,8.0,6.0,0.0,2.0,1.0,6.0,0,0,1,2,16,36.0,18.0,0.0,0.0,0.0,4,9.0,5,0,0,1,0,50.0,,,6.0,,,100.0,,,,6.0,30.0,,,,9.0,,,,,,,
Elder Shadow Drake,4,Dragon,Dragon,-1,-1,16,114,12,22,13,18,8,9,13,6.0,4.0,7.0,-1.0,-1.0,4.0,5.0,-1,0,1,2,15,36.0,0.0,0.0,0.0,0.0,3,7.0,4,0,0,3,0,20.0,,,5.0,,,60.0,7.0,,,,,,,,,,,,,,,
Paper Drake,2,Dragon,Dragon,0,0,13,78,12,7,17,16,10,12,13,-2.0,3.0,3.0,0.0,1.0,1.0,1.0,0,0,0,2,11,18.0,0.0,0.0,0.0,0.0,4,2.0,4,0,0,2,0,40.0,,,,,,100.0,,,,,,,,,,,,,,,,
Rust Drake,3,Dragon,Dragon,-1,-1,17,161,19,20,15,19,12,8,8,5.0,2.0,4.0,1.0,-1.0,-1.0,3.0,-1,0,1,2,13,18.0,0.0,0.0,0.0,0.0,2,8.0,5,0,0,0,0,30.0,,,3.0,,,100.0,5.0,5.0,,,,,,,,,,,,,,
Star Drake,4,Dragon,Dragon,0,0,19,189,18,20,17,21,16,24,20,5.0,8.0,10.0,8.0,12.0,10.0,12.0,0,0,5,4,22,0.0,0.0,0.0,36.0,0.0,7,15.0,5,0,3,5,0,40.0,,8.0,12.0,,8.0,100.0,,,,12.0,,,8.0,,,,,,,,,
Drakon,4,Beast,Beast,0,0,16,105,14,14,19,15,2,12,10,2.0,4.0,2.0,-4.0,1.0,0.0,4.0,0,1,0,1,14,18.0,0.0,0.0,0.0,0.0,1,5.0,4,0,0,1,0,30.0,40.0,,4.0,,,60.0,7.0,,,,,,,,,,,,,,,
Dream Eater,3,Fiend,Fiend,1,-1,15,75,10,15,18,17,16,13,20,2.0,4.0,3.0,3.0,1.0,5.0,1.0,0,6,1,1,11,18.0,0.0,0.0,0.0,30.0,5,5.0,6,0,0,2,0,30.0,,,,,,20.0,,,8.0,4.0,,8.0,,,,,,,,,,
Drowned Maiden,3,Undead,Undead,0,-1,15,90,20,15,16,10,10,12,18,2.0,3.0,6.0,0.0,1.0,7.0,1.0,0,3,2,5,11,18.0,0.0,0.0,0.0,0.0,1,5.0,5,0,0,2,0,30.0,40.0,,,,,,,,,,,,,,,,,,,,,
Duskthorn Dryad,3,Fey,Fey,-1,0,17,77,14,10,20,13,14,15,24,0.0,5.0,3.0,2.0,4.0,7.0,4.0,0,0,0,0,15,18.0,0.0,0.0,0.0,0.0,4,3.0,2,0,0,5,0,30.0,,,4.0,,,,7.0,,9.0,,,9.0,,,,,,,6.0,,,
Dullahan,4,Fey,Fey,1,-1,17,178,17,19,18,20,13,15,17,4.0,4.0,5.0,1.0,2.0,3.0,6.0,0,3,1,3,16,0.0,18.0,0.0,0.0,0.0,3,11.0,3,1,0,4,0,60.0,,,6.0,,,,,,7.0,,,,,,,,6.0,,,7.0,,
Dune Mimic,5,Monstrosity,shapechanger,0,0,13,168,16,20,8,18,9,13,10,5.0,-1.0,4.0,-1.0,1.0,0.0,4.0,0,0,1,1,14,18.0,0.0,9.0,0.0,0.0,1,8.0,3,0,0,4,0,10.0,,,4.0,,,,,,,,,,,,,,,,,,,
Eala,2,Monstrosity,Monstrosity,0,0,15,40,9,10,16,12,2,12,16,0.0,5.0,1.0,-4.0,1.0,3.0,1.0,0,0,1,0,11,18.0,0.0,0.0,0.0,0.0,1,2.0,3,1,0,0,0,10.0,,,,,,60.0,,,,,,,,,,,,,,,,
Eater Of Dust (Yakat-Shi),3,Aberration,Aberration,0,-1,17,114,12,20,14,20,10,15,17,9.0,2.0,9.0,0.0,2.0,7.0,6.0,0,2,4,3,16,0.0,18.0,0.0,0.0,30.0,6,9.0,2,0,0,4,0,30.0,,,6.0,,,,,,,,,,,,9.0,,,,,,,
Edimmu,3,Undead,Undead,-1,-1,15,75,10,1,19,16,12,13,13,-5.0,4.0,3.0,1.0,1.0,1.0,1.0,0,8,2,10,11,0.0,18.0,0.0,0.0,0.0,1,4.0,1,0,0,2,0,0.0,,,,,,60.0,,,,,,,,True,,,,,,,,
Eel Hound,3,Fey,Fey,0,0,14,77,14,19,16,13,6,13,16,4.0,3.0,1.0,-2.0,1.0,3.0,3.0,0,0,0,0,13,18.0,0.0,0.0,0.0,0.0,1,2.0,1,0,0,4,0,30.0,40.0,,3.0,,,,5.0,,,,,,,,,,,,,,,
Einherjar,3,Humanoid,Humanoid,-1,0,18,119,14,19,16,19,10,14,11,4.0,3.0,4.0,0.0,2.0,0.0,5.0,0,1,0,0,15,18.0,0.0,0.0,18.0,0.0,2,7.0,3,0,0,7,0,30.0,,,5.0,,,,,,,,,,,,,,,,,6.0,,
Eleinomae,3,Fey,Fey,-1,-1,18,112,15,13,19,16,14,14,19,4.0,7.0,6.0,5.0,5.0,7.0,5.0,0,0,0,0,15,0.0,0.0,0.0,0.0,0.0,4,5.0,3,0,0,3,0,30.0,30.0,,5.0,,,,,,,5.0,,7.0,,,,,,,,,,
Elemental Locus,6,Elemental,Elemental,0,0,16,290,20,28,1,18,10,11,11,9.0,-5.0,4.0,6.0,6.0,6.0,6.0,0,3,9,7,16,36.0,0.0,36.0,0.0,0.0,1,17.0,2,0,0,5,0,5.0,,,6.0,,,,,,,,,,,,,,,,6.0,,,
Shadow Fey,3,Humanoid,elf,1,-1,15,31,7,10,14,10,11,11,13,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0,0,0,0,12,18.0,0.0,0.0,0.0,0.0,3,0.25,2,0,0,4,0,30.0,,,2.0,,,,,,,,,,2.0,,,,,,,,,
Shadow Fey Duelist,3,Humanoid,elf,1,-1,17,117,18,13,20,14,13,12,16,8.0,5.0,5.0,1.0,4.0,6.0,4.0,0,0,0,0,14,18.0,0.0,0.0,0.0,0.0,3,6.0,3,1,0,4,0,30.0,,,4.0,,,,8.0,,,,,6.0,4.0,,,,,,,,,
Shadow Fey Enchantress,3,Humanoid,shadow fey,1,-1,16,123,19,10,15,14,12,17,18,0.0,5.0,2.0,1.0,6.0,7.0,6.0,0,0,0,0,16,18.0,0.0,0.0,0.0,0.0,3,7.0,4,0,0,5,0,30.0,,,6.0,,,,5.0,,7.0,,,7.0,4.0,,,,,,,,,
Shadow Fey Forest Hunter,3,Humanoid,elf,1,-1,15,104,19,12,18,12,11,12,16,1.0,7.0,4.0,0.0,1.0,6.0,4.0,0,0,0,0,14,18.0,0.0,0.0,0.0,0.0,3,5.0,3,0,0,5,0,30.0,,,4.0,,,,10.0,,,,,,3.0,,,,4.0,,,,,
Shadow Fey Guardian,4,Humanoid,elf,0,-1,15,110,13,18,14,16,6,14,8,6.0,2.0,5.0,-2.0,2.0,-1.0,4.0,0,0,0,2,14,18.0,0.0,0.0,0.0,0.0,3,4.0,3,1,0,5,0,30.0,,,4.0,,,,,,,,,,,,6.0,,,,,,,
Emerald Eye,1,Construct,Construct,-1,-1,14,54,12,3,15,14,15,12,16,-4.0,4.0,4.0,4.0,1.0,3.0,3.0,0,3,1,8,13,0.0,18.0,0.0,0.0,75.0,3,1.0,4,0,0,2,0,0.0,,4.0,3.0,,4.0,30.0,,,5.0,,,5.0,4.0,True,,4.0,,,,,,
Empty Cloak,3,Construct,Construct,0,0,13,45,10,18,14,10,10,10,1,4.0,4.0,2.0,0.0,0.0,-5.0,0.0,-1,1,1,6,10,18.0,0.0,0.0,0.0,0.0,2,0.5,3,0,0,3,0,0.0,,,,,,40.0,4.0,,,,,,,,,,,,,,,
Eonic Drifter,3,Humanoid,human,-1,0,13,65,10,9,14,14,18,11,13,-1.0,2.0,2.0,4.0,0.0,1.0,0.0,0,0,0,0,10,0.0,0.0,0.0,0.0,0.0,4,1.0,4,0,0,0,0,30.0,,6.0,,,,,,,,,,,6.0,,,,,,,,,
Erina Scrounger,2,Humanoid,erina,0,0,12,22,4,9,12,14,13,10,11,-1.0,1.0,2.0,1.0,0.0,0.0,0.0,0,1,0,0,10,18.0,0.0,0.0,0.0,0.0,2,0.25,2,0,0,3,0,20.0,,,,,,,,20.0,,,,,,,,,,,,,,
Erina Defender,2,Humanoid,erina,0,0,15,44,8,11,14,14,13,12,11,0.0,2.0,2.0,1.0,1.0,0.0,3.0,0,1,0,0,13,18.0,0.0,0.0,0.0,0.0,2,1.0,3,1,0,3,0,20.0,,,3.0,,,,,20.0,,,,,,,4.0,,,,,,,
Far Darrig,2,Fey,Fey,0,0,14,104,16,15,16,17,11,15,17,2.0,5.0,7.0,0.0,2.0,7.0,6.0,0,0,0,0,16,18.0,0.0,0.0,0.0,0.0,3,3.0,3,0,0,1,0,20.0,,,6.0,6.0,,,,,,,,,,,,,6.0,,4.0,,,
Fate Eater,3,Aberration,Aberration,0,0,16,182,28,18,12,14,18,16,9,4.0,1.0,5.0,4.0,3.0,-1.0,3.0,0,0,0,2,13,0.0,0.0,0.0,18.0,30.0,1,6.0,2,0,0,2,0,40.0,,7.0,,,7.0,,,,,6.0,40.0,,7.0,,,,,,,,,
Fear Smith,3,Fey,Fey,-1,0,17,123,19,11,17,14,11,15,18,0.0,3.0,2.0,0.0,6.0,4.0,2.0,0,3,0,2,12,0.0,9.0,0.0,0.0,0.0,3,10.0,3,0,0,4,0,40.0,,,,,,,7.0,,,,15.0,,,,,,,,,,,
Fellforged,3,Construct,Construct,1,-1,15,135,18,14,12,17,12,14,15,8.0,1.0,3.0,1.0,2.0,2.0,2.0,0,4,2,3,12,18.0,0.0,0.0,0.0,0.0,1,5.0,3,0,0,3,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Fext,3,Undead,Undead,0,0,17,60,11,14,16,1,14,12,18,2.0,6.0,-5.0,2.0,4.0,7.0,4.0,0,3,0,5,14,18.0,0.0,0.0,0.0,0.0,1,6.0,3,0,0,4,0,30.0,,,4.0,,,,,,,,,,,,,,,,,,,
Feyward Tree,5,Construct,Construct,0,0,17,94,9,26,10,18,2,11,6,8.0,0.0,7.0,-4.0,3.0,1.0,3.0,0,0,5,6,13,18.0,0.0,0.0,0.0,0.0,1,8.0,3,0,0,5,0,20.0,,,3.0,,,,,,,,,,,,,,,,,,,
Firebird,2,Celestial,Celestial,0,1,16,99,18,12,19,14,16,15,21,1.0,6.0,4.0,5.0,4.0,7.0,7.0,0,4,1,3,17,0.0,0.0,0.0,18.0,0.0,5,4.0,4,0,0,3,0,20.0,,,7.0,4.0,5.0,100.0,,,,4.0,,,5.0,,,6.0,,,5.0,,,
Firegeist,2,Elemental,Elemental,0,-1,14,87,25,7,18,10,4,16,6,-2.0,4.0,0.0,-3.0,3.0,-2.0,5.0,0,0,2,8,15,18.0,0.0,0.0,0.0,0.0,1,2.0,3,0,0,4,0,40.0,,,5.0,,,,,,,,,,,,,,,,,,,
Flutterflesh,4,Undead,Undead,-1,-1,16,187,22,11,18,17,12,13,10,4.0,8.0,3.0,1.0,1.0,0.0,5.0,-1,5,2,6,15,72.0,0.0,0.0,0.0,0.0,2,12.0,4,0,0,4,0,10.0,,,5.0,,,60.0,8.0,,,,,4.0,,,,,,,,,,
Folk Of Leng,3,Humanoid,Humanoid,0,-1,14,68,8,12,15,18,14,16,22,1.0,4.0,4.0,2.0,5.0,6.0,5.0,0,1,1,1,15,0.0,0.0,0.0,0.0,0.0,2,2.0,3,0,0,4,0,30.0,,,5.0,,,,,,,,,8.0,4.0,,,,,,,,,
Forest Marauder,4,Giant,Giant,-1,-1,15,114,12,21,10,18,6,10,7,5.0,0.0,6.0,-2.0,0.0,-2.0,0.0,0,0,0,0,10,36.0,0.0,0.0,0.0,0.0,3,4.0,3,0,0,1,0,40.0,,,,,,,,,,,,,,,,,,,,,,
Fraughashar,2,Fey,Fey,0,-1,15,18,4,8,14,12,10,11,7,-1.0,2.0,1.0,0.0,0.0,-2.0,0.0,0,0,1,0,10,0.0,0.0,0.0,0.0,0.0,1,0.5,4,0,0,1,0,25.0,,,,,,,4.0,,,,,,,,,,,,,,,
Frostveil,3,Plant,Plant,0,0,16,67,9,20,20,16,1,11,1,5.0,5.0,3.0,-5.0,0.0,-5.0,0.0,-1,2,1,5,10,0.0,30.0,0.0,0.0,0.0,1,4.0,4,0,0,3,0,10.0,,,,,,30.0,7.0,,,,,,,,,,,,,,,
Garroter Crab,1,Beast,Beast,0,0,13,18,4,7,14,14,1,10,2,-2.0,2.0,2.0,-5.0,0.0,-4.0,0.0,0,0,1,2,10,18.0,0.0,0.0,0.0,0.0,1,0.25,1,0,0,1,0,30.0,20.0,,,,,,,,,,,,,,,,,,,,,
Gbahali (Postosuchus),5,Beast,Beast,0,0,15,126,12,21,14,19,2,13,7,5.0,2.0,4.0,-4.0,1.0,-2.0,4.0,0,0,0,0,14,0.0,0.0,0.0,0.0,0.0,1,6.0,3,0,0,1,0,50.0,,,4.0,,,,8.0,,,,,,,,,,,,,,,
Gearforged Templar,3,Humanoid,gearforged,1,0,18,71,11,20,9,15,12,16,10,5.0,2.0,5.0,1.0,3.0,0.0,3.0,0,3,1,4,13,0.0,0.0,0.0,0.0,0.0,1,6.0,4,1,0,2,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Al-Aeshma Genie,4,Elemental,Elemental,-1,-1,17,172,15,21,15,22,15,16,20,5.0,6.0,6.0,2.0,7.0,9.0,3.0,0,0,2,0,13,36.0,0.0,0.0,0.0,0.0,3,9.0,3,0,0,6,0,30.0,,,,,,90.0,,,,,,,,True,,,,,,,,
Gerridae,4,Fey,Fey,0,0,14,77,9,16,15,17,2,13,7,3.0,2.0,3.0,-4.0,1.0,-2.0,1.0,0,0,0,0,11,18.0,0.0,0.0,0.0,0.0,1,1.0,3,0,0,2,0,10.0,80.0,,,,,,,,,,10.0,,,,,,,,,,,
Beggar Ghoul,3,Undead,Undead,-1,-1,12,13,3,10,15,10,12,11,14,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0,0,1,3,10,18.0,0.0,0.0,0.0,0.0,1,0.5,2,0,0,2,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Bonepowder Ghoul,2,Undead,Undead,0,-1,18,195,26,10,20,18,19,15,18,0.0,9.0,8.0,4.0,6.0,8.0,6.0,0,5,2,5,16,18.0,0.0,0.0,0.0,0.0,4,12.0,3,0,0,4,0,30.0,,,6.0,,,,9.0,,,,,,,,,,,,,,,
"Ghoul, Darakhul",3,Undead,Undead,0,-1,16,78,12,16,17,14,14,12,12,3.0,3.0,2.0,2.0,1.0,1.0,1.0,0,1,1,3,11,18.0,0.0,0.0,0.0,0.0,2,3.0,4,0,0,5,0,30.0,,,,,,,5.0,,,,,3.0,,,,,,,,,,
"Ghoul, Imperial",3,Undead,Undead,1,-1,16,93,17,16,14,12,13,14,14,3.0,2.0,1.0,1.0,2.0,2.0,2.0,0,0,1,3,12,18.0,0.0,0.0,0.0,0.0,3,4.0,4,0,0,1,0,30.0,,,,,,,,15.0,,,,,,,,,,,,,,
"Ghoul, Iron",3,Undead,Undead,1,-1,16,143,22,18,16,14,14,14,14,4.0,3.0,2.0,2.0,2.0,2.0,2.0,0,0,1,3,12,18.0,0.0,0.0,0.0,0.0,3,5.0,5,0,0,1,0,30.0,,,,,,,,20.0,,,,,,,,,,,,,,
Desert Giant,5,Giant,Giant,0,0,17,175,14,27,10,22,13,18,15,12.0,0.0,10.0,1.0,4.0,6.0,8.0,0,0,1,0,18,0.0,0.0,0.0,0.0,0.0,2,9.0,3,0,0,2,0,40.0,,,8.0,,,,4.0,,,,,,,,,,8.0,,,,,
Flab Giant,4,Giant,Giant,-1,-1,14,110,13,20,6,16,9,13,8,5.0,-2.0,5.0,-1.0,1.0,-1.0,3.0,0,0,1,1,13,0.0,0.0,0.0,0.0,0.0,2,4.0,3,0,0,1,0,20.0,,,3.0,,,,,,,,,,,,,,,,,,,
Hraesvelgr The Corpse Swallower,5,Giant,shapechanger,0,0,19,241,21,25,10,20,16,17,20,7.0,6.0,5.0,9.0,9.0,11.0,9.0,0,2,4,1,19,0.0,0.0,0.0,0.0,0.0,3,19.0,5,0,3,6,0,50.0,,,9.0,,,,,,,,,,,,13.0,,9.0,,,,,
Jotun Giant,6,Giant,Giant,-1,0,20,407,22,30,8,26,18,20,14,10.0,-1.0,14.0,4.0,11.0,8.0,5.0,0,3,0,0,15,36.0,0.0,0.0,0.0,0.0,2,22.0,4,1,3,5,0,60.0,,10.0,,,,,5.0,,,,,,10.0,,,,,,10.0,,,
Thursir Giant,4,Giant,Giant,1,-1,13,114,12,19,10,18,13,15,11,4.0,0.0,6.0,1.0,2.0,0.0,4.0,0,0,0,0,14,18.0,0.0,0.0,0.0,0.0,3,3.0,4,0,0,1,0,40.0,,,4.0,,,,,,,,,,,,6.0,,,,,,,
Glass Gator,4,Beast,Beast,0,0,15,45,7,15,14,12,4,10,5,2.0,2.0,1.0,-3.0,0.0,-3.0,2.0,0,0,0,0,12,0.0,9.0,0.0,0.0,0.0,1,1.0,2,1,0,4,0,30.0,50.0,,2.0,,,,4.0,,,,,,,,,,,,,,,
Gnarljak,2,Construct,Construct,0,0,16,63,14,13,22,11,2,14,1,1.0,9.0,0.0,-4.0,2.0,-5.0,5.0,0,6,3,6,15,0.0,9.0,0.0,0.0,0.0,1,6.0,2,0,0,0,0,30.0,,,5.0,,,,9.0,,,,,,,,,,,,,,,
Gnoll Havoc Runner,3,Humanoid,gnoll,-1,-1,15,58,9,16,14,14,8,12,9,3.0,2.0,2.0,-1.0,1.0,-1.0,5.0,0,0,0,0,15,18.0,0.0,0.0,0.0,0.0,1,3.0,3,0,0,3,0,30.0,,,5.0,,,,,,,,,,,,5.0,,,,,,,
Goat-Man,3,Monstrosity,Monstrosity,-1,-1,14,65,10,19,14,14,10,13,8,4.0,4.0,2.0,0.0,1.0,-1.0,1.0,0,3,0,2,11,18.0,0.0,0.0,0.0,0.0,4,3.0,3,0,0,1,0,40.0,,,,,,,6.0,,,,,,,,6.0,4.0,,,,,,
Dust Goblin,2,Humanoid,goblinoid,0,-1,14,5,1,8,16,14,10,8,8,-1.0,3.0,2.0,0.0,-1.0,-1.0,-1.0,0,0,0,2,9,18.0,0.0,0.0,0.0,0.0,2,0.25,2,0,0,1,0,40.0,,,,,,,7.0,,,,,,,,,,,,,,,
Eye Golem,4,Construct,Construct,0,0,20,157,15,22,9,20,5,11,1,6.0,-1.0,5.0,-3.0,0.0,-5.0,8.0,0,0,6,6,18,0.0,0.0,0.0,36.0,0.0,2,11.0,5,0,0,3,0,30.0,,,8.0,,,,,,,,,,,,,,,,,,,
Hoard Golem,5,Construct,Construct,0,0,18,161,14,22,15,20,3,11,1,6.0,2.0,9.0,-4.0,0.0,-5.0,4.0,0,0,5,6,14,36.0,0.0,0.0,0.0,0.0,1,12.0,3,0,0,4,0,40.0,,,4.0,,,,,,,,,,,,10.0,,,,,,,
Salt Golem,4,Construct,Construct,0,0,17,110,11,20,9,20,3,11,1,5.0,-1.0,5.0,-4.0,0.0,-5.0,0.0,0,0,6,6,10,36.0,0.0,0.0,0.0,0.0,1,10.0,2,0,0,4,0,20.0,,,,,,,,,,,,,,,9.0,,,,,,,
Smaragdine Golem,4,Construct,Construct,0,0,17,231,22,24,11,21,3,11,1,7.0,0.0,5.0,-4.0,0.0,-5.0,0.0,0,0,5,6,10,36.0,0.0,0.0,0.0,0.0,1,14.0,3,0,0,4,0,30.0,,,,,,,,,,,,,,,,,,,,,,
Steam Golem,4,Construct,Construct,0,0,18,171,18,26,12,18,3,10,1,8.0,1.0,4.0,-4.0,0.0,-5.0,0.0,0,0,6,6,10,36.0,0.0,0.0,0.0,0.0,1,13.0,4,1,0,5,0,40.0,,,,,,,,,,,,,,,,,,,,,,
Gray Thirster,3,Undead,Undead,0,-1,13,39,6,12,16,15,6,12,14,1.0,3.0,2.0,-2.0,1.0,2.0,1.0,0,2,2,4,11,18.0,0.0,0.0,0.0,0.0,1,2.0,4,0,0,1,0,30.0,,,,,,,5.0,,,,,,,,,,,,,,,
Rum Gremlin,1,Fey,Fey,-1,-1,13,22,5,10,16,14,12,9,12,0.0,3.0,2.0,1.0,-1.0,1.0,-1.0,0,0,0,1,10,36.0,0.0,0.0,0.0,0.0,1,0.5,4,0,0,2,0,20.0,10.0,,,,,,5.0,,,,10.0,,,,,,,,,,,
Grim Jester,3,Undead,Undead,-1,-1,18,136,16,14,22,18,16,16,20,2.0,10.0,8.0,3.0,3.0,9.0,7.0,0,1,5,5,17,18.0,0.0,0.0,0.0,18.0,5,11.0,2,1,0,4,0,30.0,,,7.0,,,,10.0,,,,,9.0,,,,10.0,,,,,9.0,
Gug,5,Giant,Giant,0,-1,17,270,20,24,10,25,10,8,14,12.0,4.0,11.0,0.0,-1.0,6.0,3.0,0,0,1,4,13,72.0,0.0,0.0,0.0,0.0,3,12.0,3,0,5,1,0,40.0,,,3.0,,,,4.0,,,,,,,,11.0,,,,,,,
Blood Hag,3,Fey,Fey,-1,-1,16,178,21,20,16,18,19,21,17,5.0,7.0,8.0,4.0,5.0,7.0,9.0,0,0,0,2,19,18.0,0.0,0.0,0.0,0.0,5,11.0,9,0,0,2,0,30.0,,,9.0,,,,7.0,,,,30.0,7.0,,,,,,,,7.0,,
Mirror Hag,3,Fey,Fey,-1,0,16,168,16,15,16,22,12,14,19,2.0,3.0,6.0,1.0,2.0,4.0,2.0,0,1,0,2,12,18.0,0.0,0.0,0.0,0.0,1,6.0,4,0,0,3,0,30.0,,,,,,10.0,,,,,,,,,,,,,,,,
Red Hag,3,Fey,Fey,0,-1,15,119,14,19,16,18,18,22,15,4.0,3.0,4.0,4.0,6.0,2.0,9.0,0,0,0,2,16,18.0,0.0,0.0,0.0,0.0,3,7.0,2,0,0,4,0,30.0,30.0,,9.0,,,,,,,7.0,,5.0,9.0,,,,,,,,,
Sand Hag,3,Monstrosity,Monstrosity,-1,-1,17,112,15,18,15,16,16,14,16,4.0,2.0,3.0,3.0,2.0,3.0,5.0,0,0,0,0,15,36.0,0.0,0.0,0.0,0.0,4,5.0,4,0,0,4,0,30.0,,,5.0,,,,5.0,30.0,,,,6.0,,,,,,,,,,
Owl Harpy,3,Monstrosity,Monstrosity,0,-1,14,112,15,12,17,16,11,14,14,1.0,3.0,3.0,0.0,2.0,2.0,2.0,-1,0,0,0,12,0.0,18.0,0.0,0.0,0.0,3,5.0,5,0,0,3,0,20.0,,,,,,80.0,6.0,,,,,,,True,,,,,,,7.0,
Haugbui,3,Undead,Undead,1,0,18,136,16,18,17,18,15,20,16,4.0,8.0,9.0,2.0,10.0,3.0,10.0,0,3,4,5,20,0.0,0.0,0.0,18.0,36.0,2,13.0,2,0,0,6,0,0.0,,7.0,10.0,,12.0,40.0,,,,,,,7.0,True,,,,,,8.0,,
Herald Of Blood,5,Fiend,Fiend,0,-1,15,115,10,22,12,20,14,17,16,10.0,1.0,9.0,2.0,7.0,3.0,7.0,0,2,2,5,17,72.0,0.0,0.0,0.0,0.0,4,12.0,1,0,3,5,0,30.0,30.0,,7.0,,,50.0,,,,,,,6.0,,,,,,,,,
Herald Of Darkness,4,Fiend,Fiend,0,-1,15,105,10,20,14,20,12,15,20,8.0,2.0,8.0,1.0,2.0,8.0,5.0,0,2,4,5,15,60.0,0.0,0.0,0.0,0.0,5,7.0,4,0,0,3,0,30.0,30.0,,5.0,,,50.0,,,,,,8.0,,,8.0,,,,,,,
Horakh,3,Monstrosity,Monstrosity,0,0,17,161,19,18,19,19,8,15,10,4.0,12.0,4.0,-1.0,2.0,0.0,6.0,0,0,0,0,20,18.0,0.0,9.0,0.0,0.0,1,9.0,4,0,0,2,0,40.0,,,6.0,,,,8.0,,,,30.0,,,,8.0,,,,,,,
Hound Of The Night,4,Monstrosity,Monstrosity,0,0,16,112,15,20,16,14,9,14,10,5.0,6.0,5.0,-1.0,5.0,0.0,5.0,-1,0,1,0,15,18.0,0.0,0.0,0.0,0.0,2,5.0,2,0,0,2,0,30.0,,,5.0,,,,6.0,,,,,,,,,,,,,3.0,,
Hulking Whelp,2,Fey,shapechanger,-1,0,15,94,9,21,10,18,7,14,9,5.0,0.0,4.0,-2.0,2.0,-1.0,2.0,0,3,0,0,12,0.0,0.0,0.0,0.0,0.0,1,5.0,2,1,0,3,0,40.0,,,,,,,,,,,,,,,,,,,,,,
Hundun,4,Celestial,Celestial,-1,1,18,153,18,20,14,16,4,20,18,5.0,2.0,7.0,-3.0,9.0,8.0,9.0,0,5,2,7,20,0.0,18.0,0.0,0.0,0.0,3,10.0,2,0,0,10,0,40.0,,,9.0,,,40.0,,,,9.0,,,,,9.0,,,,,,,
Ice Maiden,3,Fey,Fey,1,-1,16,84,13,12,17,15,19,13,23,1.0,3.0,5.0,4.0,1.0,9.0,1.0,-1,3,1,0,11,18.0,0.0,0.0,0.0,0.0,3,6.0,6,0,0,6,0,30.0,,,,,,,6.0,,9.0,,,9.0,,,,,,,,,,
Idolic Deity,2,Construct,Construct,0,-1,17,90,12,14,20,18,10,11,20,2.0,5.0,4.0,0.0,3.0,5.0,0.0,-1,4,1,6,10,18.0,0.0,0.0,0.0,18.0,1,8.0,3,0,0,4,0,0.0,,,,,,30.0,8.0,,,,,8.0,,,,,,,,,,
Imy-Ut Ushabti,3,Monstrosity,Monstrosity,0,0,15,97,15,17,14,15,6,10,5,3.0,2.0,2.0,-2.0,2.0,-3.0,0.0,-1,1,0,2,10,18.0,0.0,0.0,0.0,0.0,1,3.0,3,0,0,2,0,30.0,,,,,,,,,,,,,,,,,,,,,,
